id,bucket_id,name,metadata,created_at,updated_at
bc6e262a-c555-428f-bf23-ca5fe7a8b168,log-attachments,logs/2026/08/19/b379d8c9-1082-4fe2-9979-4186d9560ded.pdf,"{""eTag"":""\""b7340b8a7a3b945ce1bc662fe0d54360\"""",""size"":13857385,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-19T12:39:43.000Z"",""contentLength"":13857385,""httpStatusCode"":200}",2026-08-19 12:39:42.861588+00,2026-08-19 12:39:42.861588+00
53e40046-2b5e-4fc5-bc77-7cd8aa7c404c,log-attachments,logs/2026/08/19/b42b6c12-6c5d-4acd-a142-293b6bf7d3bd.png,"{""eTag"":""\""bbb263a064a00ffbbd409d82c3a4c34c\"""",""size"":1201515,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T17:47:36.000Z"",""contentLength"":1201515,""httpStatusCode"":200}",2026-08-18 17:47:35.203335+00,2026-08-18 17:47:35.203335+00
f382040c-4d7f-49e5-8a5f-75c66ec585bd,log-attachments,logs/2026/08/19/b4f648e5-c96a-4f97-b6a8-8960ed64a7a4.pdf,"{""eTag"":""\""7eed80ba589c500adca8639837b31ab1\"""",""size"":16535005,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:52:30.000Z"",""contentLength"":16535005,""httpStatusCode"":200}",2026-08-18 18:52:29.89043+00,2026-08-18 18:52:29.89043+00
7958d773-a233-4c24-8851-41d969965a23,log-attachments,logs/2026/08/19/b5298969-1cad-45b7-9aa9-fdb68d695777.png,"{""eTag"":""\""c705af92ecb0abdab1ea84fcaee91447\"""",""size"":1681121,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-19T12:37:53.000Z"",""contentLength"":1681121,""httpStatusCode"":200}",2026-08-19 12:37:52.094011+00,2026-08-19 12:37:52.094011+00
09d97569-6b98-4f19-82d9-01c8ece66cfd,log-attachments,logs/2026/08/19/bc84a03b-7803-4cc4-8730-b05495b9fe0f.png,"{""eTag"":""\""1c7f8beb6d96725feab009d22f8afc5e\"""",""size"":1637497,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T17:47:22.000Z"",""contentLength"":1637497,""httpStatusCode"":200}",2026-08-18 17:47:21.156321+00,2026-08-18 17:47:21.156321+00
2a85dba8-a8e8-4e89-a09a-00323a67d3ea,log-attachments,logs/2026/08/19/c02c7cb6-325a-4811-9b2f-56be786ed4c4.pdf,"{""eTag"":""\""b6d09af45993c2586e9c3750028b2757\"""",""size"":1112549,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:46:43.000Z"",""contentLength"":1112549,""httpStatusCode"":200}",2026-08-18 18:46:42.285425+00,2026-08-18 18:46:42.285425+00
349079a6-fad1-462c-8ab9-987b4bf81391,log-attachments,logs/2026/08/19/cccfe8dd-ad51-4734-833f-3379a26dbae4.md,"{""eTag"":""\""0bc2e0c98e12404a9693c6801da84d9c\"""",""size"":26776,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:40:49.000Z"",""contentLength"":26776,""httpStatusCode"":200}",2026-08-18 18:40:48.214668+00,2026-08-18 18:40:48.214668+00
cf6c69b8-4ade-45fa-8044-e16250eab82e,log-attachments,logs/2026/08/19/d188a8e2-0f9d-4c75-94e3-b708767be974.md,"{""eTag"":""\""0bc2e0c98e12404a9693c6801da84d9c\"""",""size"":26776,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:48:09.000Z"",""contentLength"":26776,""httpStatusCode"":200}",2026-08-18 18:48:08.34798+00,2026-08-18 18:48:08.34798+00
08e70353-944d-4e16-baa6-de61447781b0,log-attachments,logs/2026/08/19/e35b581e-3837-4879-bab4-d3d2ad10c89a.png,"{""eTag"":""\""e4d96f2120e04424845b2c6f0809e9e8\"""",""size"":1153536,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T17:47:30.000Z"",""contentLength"":1153536,""httpStatusCode"":200}",2026-08-18 17:47:29.078083+00,2026-08-18 17:47:29.078083+00
85764b23-8d62-4ae7-9e17-5fe3a9d77121,log-attachments,logs/2026/08/19/ed85cf25-e53f-4494-a5e9-76e4d2ccc5a0.png,"{""eTag"":""\""71af4d6ab719d80feb720d07a88e7598\"""",""size"":1563436,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T17:47:25.000Z"",""contentLength"":1563436,""httpStatusCode"":200}",2026-08-18 17:47:24.686431+00,2026-08-18 17:47:24.686431+00
c23997a7-5925-486f-8cb7-0f5cf6bcbbf0,log-attachments,logs/2026/08/19/f0308fad-c9c1-46fb-bdfa-64f94f04a7a9.md,"{""eTag"":""\""0bc2e0c98e12404a9693c6801da84d9c\"""",""size"":26776,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:53:44.000Z"",""contentLength"":26776,""httpStatusCode"":200}",2026-08-18 18:53:43.239356+00,2026-08-18 18:53:43.239356+00
4cb50bc7-f8f3-4433-8555-845b22c433c7,log-attachments,logs/2026/08/19/f2c9c461-c96c-4ef6-92a6-7928e8a9fa37.pdf,"{""eTag"":""\""7a1124b3a0377716d9ecb5e1adee37ef\"""",""size"":16530180,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-18T18:53:47.000Z"",""contentLength"":16530180,""httpStatusCode"":200}",2026-08-18 18:53:46.682701+00,2026-08-18 18:53:46.682701+00
9ff0f983-3bd9-4afb-930f-e057aab47b80,log-attachments,logs/2026/08/19/f60ebf35-6410-42a7-83f5-6f0bbc5347be.md,"{""eTag"":""\""0d06121ad62fe2b4fe9ad05eacb275a2\"""",""size"":27008,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-19T12:39:40.000Z"",""contentLength"":27008,""httpStatusCode"":200}",2026-08-19 12:39:39.759254+00,2026-08-19 12:39:39.759254+00
